asn|vendor_id|sku_id|po_number|ordered_quantity|order_date|received_quantity|operation
asn1||sku01|po_01|5|2022-02-20|4|INSERT
asn2||sku02|po_02|1|2022-02-21|1|INSERT
asn3||sku03|po_03|6|2022-02-22|4|INSERT
asn4||sku04|po_04|10|2022-02-23|5|INSERT
asn5||sku05|po_05|10.5|2022-02-24|5|INSERT
asn6||sku06|po_06|12.5|2022-02-25|5.6|INSERT
asn7||sku07|po_07|14.5|2022-02-26|6.2|INSERT
asn8||sku08|po_08|16.5|2022-02-27|6.8|INSERT
asn9||sku09|po_09|18.5|2022-02-28|7.4|INSERT
asn10||sku10|po_10|20.5|2022-03-01|8|INSERT
asn11||sku11|po_11|22.5|2022-03-02|8.6|INSERT
asn12||sku12|po_12|24.5|2022-03-03|9.2|INSERT
asn13||sku13|po_13|26.5|2022-03-04|9.8|INSERT
asn14||sku14|po_14|28.5|2022-03-05|10.4|INSERT
asn15||sku15|po_15|30.5|2022-03-06|11|INSERT
asn16||sku16|po_16|32.5|2022-03-07|11.6|INSERT
asn17||sku17|po_17|34.5|2022-03-08|12.2|INSERT
asn18||sku18|po_18|36.5|2022-03-09|12.8|INSERT
asn19||sku19|po_19|38.5|2022-03-10|13.4|INSERT
asn20||sku20|po_20|40.5|2022-03-11|14|INSERT
asn21||sku21|po_21|42.5|2022-03-12|14.6|INSERT
asn22||sku22|po_22|44.5|2022-03-13|15.2|INSERT
asn23||sku23|po_23|46.5|2022-03-14|15.8|INSERT
asn24||sku24|po_24|48.5|2022-03-15|16.4|INSERT
asn25||sku25|po_25|50.5|2022-03-16|17|INSERT
asn26||sku26|po_26|52.5|2022-03-17|17.6|INSERT
asn27||sku27|po_27|54.5|2022-03-18|18.2|INSERT
asn28||sku28|po_28|56.5|2022-03-19|18.8|INSERT
asn29||sku29|po_29|58.5|2022-03-20|19.4|INSERT
asn30||sku30|po_30|60.5|2022-03-21|20|INSERT
asn31||sku31|po_31|62.5|2022-03-22|20.6|INSERT
asn32||sku32|po_32|64.5|2022-03-23|21.2|INSERT
asn33||sku33|po_33|66.5|2022-03-24|21.8|INSERT
asn34||sku34|po_34|68.5|2022-03-25|22.4|INSERT
